stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\tyler\Desktop\graphical-editor\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.06672] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06676] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06681] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06685] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06690] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06695] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06700] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06704] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06709] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06714] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06719] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06723] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06728] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06733] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06738] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06747] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06752] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.06761] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06765] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06770] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.06774] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.06779] Single Buffer requirement not met.
